;v0.3.1395e1_DAREscheduleBisW2_Inc_DARE_8All
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;1521.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;1521;
Sum of nb of solve for covered manif. (max) ;1521;
Sum of total size of solve for covered manif. (avg) ;37263.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;37263;
Sum of total size of solve for covered manif. (max) ;37263;
Sum of max size of solve for covered manif. (avg) ;537.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;537;
Sum of max size of solve for covered manif. (max) ;537;
Sum of min size of solve for covered manif. (avg) ;24.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;24;
Sum of min size of solve for covered manif. (max) ;24;
Average of nb of solve for covered manif. (avg) ;190.125;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;190.125;
Average of nb of solve for covered manif. (max) ;190.125;
Average of total size of solve for covered manif. (avg) ;4657.875;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;4657.875;
Average of total size of solve for covered manif. (max) ;4657.875;
Average of max size of solve for covered manif. (avg) ;67.125;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;67.125;
Average of max size of solve for covered manif. (max) ;67.125;
Average of min size of solve for covered manif. (avg) ;3.0;
