;v0.3.1395e2_exEcai-3ag_ECAI-CL_Clique_3All
Average of nb of solve for external context (max) ;14.0;
Average of total size of solve for external context (avg) ;132.16666666666669;
Average of total size of solve for external context (stddev) ;1.1666666666666714;
Average of total size of solve for external context (min) ;131.0;
Average of total size of solve for external context (max) ;133.33333333333334;
Average of max size of solve for external context (avg) ;27.333333333333332;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;27.333333333333332;
Average of max size of solve for external context (max) ;27.333333333333332;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.3333333333333335;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;3.3333333333333335;
Standard deviation of nb of solve for external context (avg) ;4.027969302543893;
Standard deviation of nb of solve for external context (stddev) ;0.4689432185334552;
Standard deviation of nb of solve for external context (min) ;3.559026084010437;
Standard deviation of nb of solve for external context (max) ;4.4969125210773475;
Standard deviation of total size of solve for external context (avg) ;26.002254161986663;
Standard deviation of total size of solve for external context (stddev) ;4.689764344458952;
Standard deviation of total size of solve for external context (min) ;21.31248981752771;
Standard deviation of total size of solve for external context (max) ;30.692018506445613;
Standard deviation of max size of solve for external context (avg) ;7.363574011458174;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;7.363574011458174;
Standard deviation of max size of solve for external context (max) ;7.363574011458174;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;195.0;
Product of nb of solve for covered manif. (stddev) ;15.0;
Product of nb of solve for covered manif. (min) ;180;
Product of nb of solve for covered manif. (max) ;210;
Product of total size of solve for covered manif. (avg) ;412344.0;
Product of total size of solve for covered manif. (stddev) ;35856.0;
Product of total size of solve for covered manif. (min) ;376488;
Product of total size of solve for covered manif. (max) ;448200;
Product of max size of solve for covered manif. (avg) ;6400.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;6400;
Product of max size of solve for covered manif. (max) ;6400;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;6.5;
Max of nb of solve for covered manif. (stddev) ;0.5;
Max of nb of solve for covered manif. (min) ;6;
Max of nb of solve for covered manif. (max) ;7;
Max of total size of solve for covered manif. (avg) ;92.0;
Max of total size of solve for covered manif. (stddev) ;8.0;
Max of total size of solve for covered manif. (min) ;84;
Max of total size of solve for covered manif. (max) ;100;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;5.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;5;
Min of nb of solve for covered manif. (max) ;5;
Min of total size of solve for covered manif. (avg) ;54.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;54;
Min of total size of solve for covered manif. (max) ;54;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;17.5;
Sum of nb of solve for covered manif. (stddev) ;0.5;
Sum of nb of solve for covered manif. (min) ;17;
Sum of nb of solve for covered manif. (max) ;18;
Sum of total size of solve for covered manif. (avg) ;229.0;
Sum of total size of solve for covered manif. (stddev) ;8.0;
Sum of total size of solve for covered manif. (min) ;221;
Sum of total size of solve for covered manif. (max) ;237;
Sum of max size of solve for covered manif. (avg) ;57.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;57;
Sum of max size of solve for covered manif. (max) ;57;
Sum of min size of solve for covered manif. (avg) ;9.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;9;
Sum of min size of solve for covered manif. (max) ;9;
Average of nb of solve for covered manif. (avg) ;5.833333333333334;
Average of nb of solve for covered manif. (stddev) ;0.16666666666666652;
Average of nb of solve for covered manif. (min) ;5.666666666666667;
Average of nb of solve for covered manif. (max) ;6.0;
Average of total size of solve for covered manif. (avg) ;76.33333333333334;
Average of total size of solve for covered manif. (stddev) ;2.6666666666666643;
Average of total size of solve for covered manif. (min) ;73.66666666666667;
Average of total size of solve for covered manif. (max) ;79.0;
Average of max size of solve for covered manif. (avg) ;19.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;19.0;
Average of max size of solve for covered manif. (max) ;19.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;0.6439505508593788;
Standard deviation of nb of solve for covered manif. (stddev) ;0.17254603006834718;
