;v0.3.1395e1_DAREscheduleBisW2_Inc-CL_DARE_8All
Standard deviation of total size of solve for external context (max) ;1163.133886317478;
Standard deviation of max size of solve for external context (avg) ;28.091090669463156;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;28.091090669463156;
Standard deviation of max size of solve for external context (max) ;28.091090669463156;
Standard deviation of min size of solve for external context (avg) ;2.0463381929681126;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;2.0463381929681126;
Standard deviation of min size of solve for external context (max) ;2.0463381929681126;
Product of nb of solve for covered manif. (avg) ;1.2623484148275E15;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;1262348414827500;
Product of nb of solve for covered manif. (max) ;1262348414827500;
Product of total size of solve for covered manif. (avg) ;-6.5107241728281057E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-6510724172828106200;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;2.30454315E13;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;23045431500000;
Product of max size of solve for covered manif. (max) ;23045431500000;
Product of min size of solve for covered manif. (avg) ;6561.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;6561;
Product of min size of solve for covered manif. (max) ;6561;
Max of nb of solve for covered manif. (avg) ;241.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;241;
Max of nb of solve for covered manif. (max) ;241;
Max of total size of solve for covered manif. (avg) ;5346.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;5346;
Max of total size of solve for covered manif. (max) ;5346;
Max of max size of solve for covered manif. (avg) ;65.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;65;
Max of max size of solve for covered manif. (max) ;65;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;41.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;41;
Min of nb of solve for covered manif. (max) ;41;
Min of total size of solve for covered manif. (avg) ;589.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;589;
Min of total size of solve for covered manif. (max) ;589;
Min of max size of solve for covered manif. (avg) ;36.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;36;
Min of max size of solve for covered manif. (max) ;36;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;720.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;720;
Sum of nb of solve for covered manif. (max) ;720;
Sum of total size of solve for covered manif. (avg) ;13637.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;13637;
Sum of total size of solve for covered manif. (max) ;13637;
Sum of max size of solve for covered manif. (avg) ;384.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;384;
Sum of max size of solve for covered manif. (max) ;384;
Sum of min size of solve for covered manif. (avg) ;24.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;24;
Sum of min size of solve for covered manif. (max) ;24;
Average of nb of solve for covered manif. (avg) ;90.0;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;90.0;
Average of nb of solve for covered manif. (max) ;90.0;
Average of total size of solve for covered manif. (avg) ;1704.625;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;1704.625;
Average of total size of solve for covered manif. (max) ;1704.625;
Average of max size of solve for covered manif. (avg) ;48.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;48.0;
Average of max size of solve for covered manif. (max) ;48.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
