;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2All
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;2.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;2;
Min of nb of solve for covered manif. (max) ;2;
Min of total size of solve for covered manif. (avg) ;19.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;19;
Min of total size of solve for covered manif. (max) ;19;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;5.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;5;
Sum of nb of solve for covered manif. (max) ;5;
Sum of total size of solve for covered manif. (avg) ;68.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;68;
Sum of total size of solve for covered manif. (max) ;68;
Sum of max size of solve for covered manif. (avg) ;41.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;41;
Sum of max size of solve for covered manif. (max) ;41;
Sum of min size of solve for covered manif. (avg) ;11.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;11;
Sum of min size of solve for covered manif. (max) ;11;
Average of nb of solve for covered manif. (avg) ;2.5;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;2.5;
Average of nb of solve for covered manif. (max) ;2.5;
Average of total size of solve for covered manif. (avg) ;34.0;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;34.0;
Average of total size of solve for covered manif. (max) ;34.0;
Average of max size of solve for covered manif. (avg) ;20.5;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;20.5;
Average of max size of solve for covered manif. (max) ;20.5;
Average of min size of solve for covered manif. (avg) ;5.5;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;5.5;
Average of min size of solve for covered manif. (max) ;5.5;
Standard deviation of nb of solve for covered manif. (avg) ;0.5;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;0.5;
Standard deviation of nb of solve for covered manif. (max) ;0.5;
Standard deviation of total size of solve for covered manif. (avg) ;15.0;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;15.0;
Standard deviation of total size of solve for covered manif. (max) ;15.0;
Standard deviation of max size of solve for covered manif. (avg) ;4.5;
Standard deviation of max size of solve for covered manif. (stddev) ;0.0;
Standard deviation of max size of solve for covered manif. (min) ;4.5;
Standard deviation of max size of solve for covered manif. (max) ;4.5;
Standard deviation of min size of solve for covered manif. (avg) ;2.5;
Standard deviation of min size of solve for covered manif. (stddev) ;0.0;
Standard deviation of min size of solve for covered manif. (min) ;2.5;
Standard deviation of min size of solve for covered manif. (max) ;2.5;
Product of nb of solve for prove manif (avg) ;1.0;
Product of nb of solve for prove manif (stddev) ;0.0;
Product of nb of solve for prove manif (min) ;1;
Product of nb of solve for prove manif (max) ;1;
Product of total size of solve for prove manif (avg) ;625.0;
Product of total size of solve for prove manif (stddev) ;0.0;
Product of total size of solve for prove manif (min) ;625;
