;v0.3.1395e1_chain8-4_Inc_Ligne_4All
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;138.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;138;
Min of nb of solve for external context (max) ;138;
Min of total size of solve for external context (avg) ;726.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;726;
Min of total size of solve for external context (max) ;726;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;843.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;843;
Sum of nb of solve for external context (max) ;843;
Sum of total size of solve for external context (avg) ;5078.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;5078;
Sum of total size of solve for external context (max) ;5078;
Sum of max size of solve for external context (avg) ;84.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;84;
Sum of max size of solve for external context (max) ;84;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;210.75;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;210.75;
Average of nb of solve for external context (max) ;210.75;
Average of total size of solve for external context (avg) ;1269.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1269.5;
Average of total size of solve for external context (max) ;1269.5;
Average of max size of solve for external context (avg) ;21.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.0;
Average of max size of solve for external context (max) ;21.0;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
