;v0.3.13e10_exEcai-3ag_Inc-CL_Ligne_3All
Standard deviation of max size of solve for external context (max) ;10.98483803552272;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;80.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;80;
Product of nb of solve for covered manif. (max) ;80;
Product of total size of solve for covered manif. (avg) ;180336.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;180336;
Product of total size of solve for covered manif. (max) ;180336;
Product of max size of solve for covered manif. (avg) ;10000.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;10000;
Product of max size of solve for covered manif. (max) ;10000;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;5.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;5;
Max of nb of solve for covered manif. (max) ;5;
Max of total size of solve for covered manif. (avg) ;68.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;68;
Max of total size of solve for covered manif. (max) ;68;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;4.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;4;
Min of nb of solve for covered manif. (max) ;4;
Min of total size of solve for covered manif. (avg) ;51.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;51;
