;v0.3.139e1_DAREscheduleVariant_ECAI_DARE_8All
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;3989;
Sum of total size of solve for covered manif. (max) ;3989;
Sum of max size of solve for covered manif. (avg) ;302.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;302;
Sum of max size of solve for covered manif. (max) ;302;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;31.5;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;31.5;
Average of nb of solve for covered manif. (max) ;31.5;
Average of total size of solve for covered manif. (avg) ;498.625;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;498.625;
Average of total size of solve for covered manif. (max) ;498.625;
Average of max size of solve for covered manif. (avg) ;37.75;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;37.75;
Average of max size of solve for covered manif. (max) ;37.75;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;14.823967080373594;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
