;e1_chain7_ECAI-CL_Ligne_0All
Sum of nb of solve for covered manif. (max) ;250;
Sum of total size of solve for covered manif. (avg) ;3654.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;3654;
Sum of total size of solve for covered manif. (max) ;3654;
Sum of max size of solve for covered manif. (avg) ;185.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;185;
Sum of max size of solve for covered manif. (max) ;185;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;31.25;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;31.25;
Average of nb of solve for covered manif. (max) ;31.25;
Average of total size of solve for covered manif. (avg) ;456.75;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;456.75;
Average of total size of solve for covered manif. (max) ;456.75;
Average of max size of solve for covered manif. (avg) ;23.125;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;23.125;
Average of max size of solve for covered manif. (max) ;23.125;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;9.781998773256925;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;9.781998773256925;
Standard deviation of nb of solve for covered manif. (max) ;9.781998773256925;
Standard deviation of total size of solve for covered manif. (avg) ;200.49672690595224;
