;v0.3.1395e1_chain8-4_Inc_Circuit_4All
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;578125;
Product of max size of solve for covered manif. (max) ;578125;
Product of min size of solve for covered manif. (avg) ;81.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;81;
Product of min size of solve for covered manif. (max) ;81;
Max of nb of solve for covered manif. (avg) ;71.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;71;
Max of nb of solve for covered manif. (max) ;71;
Max of total size of solve for covered manif. (avg) ;1284.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1284;
Max of total size of solve for covered manif. (max) ;1284;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;60.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;60;
Min of nb of solve for covered manif. (max) ;60;
Min of total size of solve for covered manif. (avg) ;920.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;920;
Min of total size of solve for covered manif. (max) ;920;
Min of max size of solve for covered manif. (avg) ;25.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;25;
Min of max size of solve for covered manif. (max) ;25;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;267.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;267;
Sum of nb of solve for covered manif. (max) ;267;
Sum of total size of solve for covered manif. (avg) ;4109.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;4109;
Sum of total size of solve for covered manif. (max) ;4109;
Sum of max size of solve for covered manif. (avg) ;112.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;112;
Sum of max size of solve for covered manif. (max) ;112;
Sum of min size of solve for covered manif. (avg) ;12.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;12;
Sum of min size of solve for covered manif. (max) ;12;
Average of nb of solve for covered manif. (avg) ;66.75;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;66.75;
Average of nb of solve for covered manif. (max) ;66.75;
Average of total size of solve for covered manif. (avg) ;1027.25;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;1027.25;
Average of total size of solve for covered manif. (max) ;1027.25;
Average of max size of solve for covered manif. (avg) ;28.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;28.0;
Average of max size of solve for covered manif. (max) ;28.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;4.322904116447646;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;4.322904116447646;
Standard deviation of nb of solve for covered manif. (max) ;4.322904116447646;
Standard deviation of total size of solve for covered manif. (avg) ;148.86130289635383;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
