;v0.3.1395e1_chain8-4_Inc-CL_Ligne_4All
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;9.41740410091868;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;9.41740410091868;
Standard deviation of nb of solve for covered manif. (max) ;9.41740410091868;
Standard deviation of total size of solve for covered manif. (avg) ;93.65995675847816;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;93.65995675847816;
Standard deviation of total size of solve for covered manif. (max) ;93.65995675847816;
Standard deviation of max size of solve for covered manif. (avg) ;5.196152422706632;
