;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2Summ
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;4.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;4;
Nb of {Acknowledge} received (max) ;4;
Total size of {Acknowledge} received (avg) ;8.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;8;
Total size of {Acknowledge} received (max) ;8;
Global Max size of {Confirm context} received (avg) ;20.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;20;
Global Max size of {Confirm context} received (max) ;20;
Nb of {Confirm context} received (avg) ;5.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;5;
Nb of {Confirm context} received (max) ;5;
Total size of {Confirm context} received (avg) ;64.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;64;
Total size of {Confirm context} received (max) ;64;
Global Max size of {Deny} received (avg) ;22.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;22;
Global Max size of {Deny} received (max) ;22;
Nb of {Deny} received (avg) ;1.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;1;
Nb of {Deny} received (max) ;1;
Total size of {Deny} received (avg) ;35.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;35;
Total size of {Deny} received (max) ;35;
Global Max size of {Propose} received (avg) ;33.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;33;
Global Max size of {Propose} received (max) ;33;
Nb of {Propose} received (avg) ;6.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;6;
Nb of {Propose} received (max) ;6;
Total size of {Propose} received (avg) ;117.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;117;
Total size of {Propose} received (max) ;117;
Global Max size of {Acknowledge confirmation} received (avg) ;24.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;24;
Global Max size of {Acknowledge confirmation} received (max) ;24;
Nb of {Acknowledge confirmation} received (avg) ;5.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;5;
Nb of {Acknowledge confirmation} received (max) ;5;
Total size of {Acknowledge confirmation} received (avg) ;84.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;84;
Total size of {Acknowledge confirmation} received (max) ;84;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;0.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;0;
Nb of {Withdraw incomplete} received (max) ;0;
Total size of {Withdraw incomplete} received (avg) ;1.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;1;
Total size of {Withdraw incomplete} received (max) ;1;
Global Max size of {Ask other hypothesis} received (avg) ;10.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;10;
Global Max size of {Ask other hypothesis} received (max) ;10;
Nb of {Ask other hypothesis} received (avg) ;1.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;1;
Nb of {Ask other hypothesis} received (max) ;1;
Total size of {Ask other hypothesis} received (avg) ;11.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;11;
Total size of {Ask other hypothesis} received (max) ;11;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;3.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;3;
Nb of {Completeness counter-example} received (max) ;3;
Total size of {Completeness counter-example} received (avg) ;30.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;30;
Total size of {Completeness counter-example} received (max) ;30;
Global Max size of {Argue} received (avg) ;20.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;20;
Global Max size of {Argue} received (max) ;20;
Nb of {Argue} received (avg) ;2.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;2;
Nb of {Argue} received (max) ;2;
Total size of {Argue} received (avg) ;38.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;38;
Total size of {Argue} received (max) ;38;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;2.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;2;
Nb of {End of local conversation} received (max) ;2;
Total size of {End of local conversation} received (avg) ;20.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;20;
Total size of {End of local conversation} received (max) ;20;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;2.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;2;
Nb of {Finish} received (max) ;2;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
