;v0.3.136e1_DAREschedule_ECAI_DARE_8All
Min of nb of solve for covered manif. (max) ;104;
Min of total size of solve for covered manif. (avg) ;1681.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;1681;
Min of total size of solve for covered manif. (max) ;1681;
Min of max size of solve for covered manif. (avg) ;38.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;38;
Min of max size of solve for covered manif. (max) ;38;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;1758.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;1758;
Sum of nb of solve for covered manif. (max) ;1758;
Sum of total size of solve for covered manif. (avg) ;40453.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;40453;
Sum of total size of solve for covered manif. (max) ;40453;
Sum of max size of solve for covered manif. (avg) ;507.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;507;
Sum of max size of solve for covered manif. (max) ;507;
Sum of min size of solve for covered manif. (avg) ;24.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;24;
Sum of min size of solve for covered manif. (max) ;24;
Average of nb of solve for covered manif. (avg) ;219.75;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;219.75;
Average of nb of solve for covered manif. (max) ;219.75;
Average of total size of solve for covered manif. (avg) ;5056.625;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;5056.625;
Average of total size of solve for covered manif. (max) ;5056.625;
Average of max size of solve for covered manif. (avg) ;63.375;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;63.375;
Average of max size of solve for covered manif. (max) ;63.375;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
