;v0.3.135e1_chain8_Inc-CL_Ligne_8All
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;37.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;37;
Min of nb of solve for covered manif. (max) ;37;
Min of total size of solve for covered manif. (avg) ;389.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;389;
Min of total size of solve for covered manif. (max) ;389;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;572.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;572;
Sum of nb of solve for covered manif. (max) ;572;
Sum of total size of solve for covered manif. (avg) ;9987.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;9987;
Sum of total size of solve for covered manif. (max) ;9987;
Sum of max size of solve for covered manif. (avg) ;194.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;194;
Sum of max size of solve for covered manif. (max) ;194;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;71.5;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;71.5;
Average of nb of solve for covered manif. (max) ;71.5;
Average of total size of solve for covered manif. (avg) ;1248.375;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;1248.375;
Average of total size of solve for covered manif. (max) ;1248.375;
Average of max size of solve for covered manif. (avg) ;24.25;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;24.25;
Average of max size of solve for covered manif. (max) ;24.25;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;23.157072353818823;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;23.157072353818823;
